unit,sex,age,region,year,value
YR,F,Y65,DK,2021,20.9
YR,F,Y_LT1,DK,2021,83.3
YR,M,Y65,DK,2021,18.3
YR,M,Y_LT1,DK,2021,79.6
YR,T,Y65,DK,2021,19.6
YR,T,Y_LT1,DK,2021,81.4
YR,F,Y1,DK,2020,82.8
YR,F,Y10,DK,2020,73.9
YR,F,Y11,DK,2020,72.9
YR,F,Y12,DK,2020,71.9
YR,F,Y13,DK,2020,70.9
YR,F,Y14,DK,2020,69.9
YR,F,Y15,DK,2020,68.9
YR,F,Y16,DK,2020,67.9
YR,F,Y17,DK,2020,66.9
YR,F,Y18,DK,2020,65.9
YR,F,Y19,DK,2020,64.9
YR,F,Y2,DK,2020,81.8
YR,F,Y20,DK,2020,63.9
YR,F,Y21,DK,2020,62.9
YR,F,Y22,DK,2020,61.9
YR,F,Y23,DK,2020,61.0
YR,F,Y24,DK,2020,60.0
YR,F,Y25,DK,2020,59.0
YR,F,Y26,DK,2020,58.0
YR,F,Y27,DK,2020,57.0
YR,F,Y28,DK,2020,56.0
YR,F,Y29,DK,2020,55.0
YR,F,Y3,DK,2020,80.8
YR,F,Y30,DK,2020,54.0
YR,F,Y31,DK,2020,53.1
YR,F,Y32,DK,2020,52.1
YR,F,Y33,DK,2020,51.1
YR,F,Y34,DK,2020,50.1
YR,F,Y35,DK,2020,49.1
YR,F,Y36,DK,2020,48.1
YR,F,Y37,DK,2020,47.2
YR,F,Y38,DK,2020,46.2
YR,F,Y39,DK,2020,45.2
YR,F,Y4,DK,2020,79.8
YR,F,Y40,DK,2020,44.2
YR,F,Y41,DK,2020,43.3
YR,F,Y42,DK,2020,42.3
YR,F,Y43,DK,2020,41.3
YR,F,Y44,DK,2020,40.3
YR,F,Y45,DK,2020,39.4
YR,F,Y46,DK,2020,38.4
YR,F,Y47,DK,2020,37.5
YR,F,Y48,DK,2020,36.5
YR,F,Y49,DK,2020,35.5
YR,F,Y5,DK,2020,78.8
YR,F,Y50,DK,2020,34.6
YR,F,Y51,DK,2020,33.7
YR,F,Y52,DK,2020,32.7
YR,F,Y53,DK,2020,31.8
YR,F,Y54,DK,2020,30.9
YR,F,Y55,DK,2020,29.9
YR,F,Y56,DK,2020,29.0
YR,F,Y57,DK,2020,28.1
YR,F,Y58,DK,2020,27.2
YR,F,Y59,DK,2020,26.3
YR,F,Y6,DK,2020,77.8
YR,F,Y60,DK,2020,25.4
YR,F,Y61,DK,2020,24.6
YR,F,Y62,DK,2020,23.7
YR,F,Y63,DK,2020,22.8
YR,F,Y64,DK,2020,22.0
YR,F,Y65,DK,2020,21.2
YR,F,Y66,DK,2020,20.3
YR,F,Y67,DK,2020,19.5
YR,F,Y68,DK,2020,18.7
YR,F,Y69,DK,2020,17.9
YR,F,Y7,DK,2020,76.8
YR,F,Y70,DK,2020,17.2
YR,F,Y71,DK,2020,16.4
YR,F,Y72,DK,2020,15.6
YR,F,Y73,DK,2020,14.8
YR,F,Y74,DK,2020,14.1
YR,F,Y75,DK,2020,13.3
YR,F,Y76,DK,2020,12.6
YR,F,Y77,DK,2020,11.9
YR,F,Y78,DK,2020,11.3
YR,F,Y79,DK,2020,10.6
YR,F,Y8,DK,2020,75.8
YR,F,Y80,DK,2020,9.9
YR,F,Y81,DK,2020,9.3
YR,F,Y82,DK,2020,8.7
YR,F,Y83,DK,2020,8.1
YR,F,Y84,DK,2020,7.6
YR,F,Y9,DK,2020,74.8
YR,F,Y_GE85,DK,2020,7.0
YR,F,Y_LT1,DK,2020,83.6
YR,M,Y1,DK,2020,78.9
YR,M,Y10,DK,2020,70.0
YR,M,Y11,DK,2020,69.0
YR,M,Y12,DK,2020,68.0
YR,M,Y13,DK,2020,67.0
YR,M,Y14,DK,2020,66.0
YR,M,Y15,DK,2020,65.0
YR,M,Y16,DK,2020,64.1
YR,M,Y17,DK,2020,63.1
YR,M,Y18,DK,2020,62.1
YR,M,Y19,DK,2020,61.1
YR,M,Y2,DK,2020,78.0
YR,M,Y20,DK,2020,60.1
YR,M,Y21,DK,2020,59.1
YR,M,Y22,DK,2020,58.2
YR,M,Y23,DK,2020,57.2
YR,M,Y24,DK,2020,56.2
YR,M,Y25,DK,2020,55.2
YR,M,Y26,DK,2020,54.3
YR,M,Y27,DK,2020,53.3
YR,M,Y28,DK,2020,52.3
YR,M,Y29,DK,2020,51.4
YR,M,Y3,DK,2020,77.0
YR,M,Y30,DK,2020,50.4
YR,M,Y31,DK,2020,49.4
YR,M,Y32,DK,2020,48.4
YR,M,Y33,DK,2020,47.5
YR,M,Y34,DK,2020,46.5
YR,M,Y35,DK,2020,45.5
YR,M,Y36,DK,2020,44.5
YR,M,Y37,DK,2020,43.6
YR,M,Y38,DK,2020,42.6
YR,M,Y39,DK,2020,41.7
YR,M,Y4,DK,2020,76.0
YR,M,Y40,DK,2020,40.7
YR,M,Y41,DK,2020,39.7
YR,M,Y42,DK,2020,38.8
YR,M,Y43,DK,2020,37.8
YR,M,Y44,DK,2020,36.9
YR,M,Y45,DK,2020,35.9
YR,M,Y46,DK,2020,35.0
YR,M,Y47,DK,2020,34.0
YR,M,Y48,DK,2020,33.1
YR,M,Y49,DK,2020,32.2
YR,M,Y5,DK,2020,75.0
YR,M,Y50,DK,2020,31.2
